Response,Response Type,Learner,Response Content,Source,Response Time Type,Point In Time Value,Point In Time Reference System,Interval Start Value,Interval Start Reference System,Interval End Value,Response Time Key,Interval End Reference System,Affects Awareness Observation,Affects Awareness Observation Topic,Affects Awareness Observation Skill
SPARQL Query Pattern Readiness Hint,Response,Learner Morgan,SPARQL Query Pattern Construction: start from the graph pattern and check whether each selected variable is bound before revising the query.,Adaptive Tutor,PointInTime,2026-03-19T13:00:00Z,ISO 8601 UTC,,,,2026-03-19T13:00:00Z,,SPARQL Query Pattern Readiness Observation,Query,SPARQL Query Pattern Construction
SPARQL Query Pattern Readiness Feedback,LearningFeedback,Learner Morgan,SPARQL Query Pattern Construction needs one more pass on variable binding before moving to the entailment scenario.,Learning Platform,PointInTime,2026-03-19T13:00:00Z,ISO 8601 UTC,,,,2026-03-19T13:00:00Z,,SPARQL Query Pattern Readiness Observation,Query,SPARQL Query Pattern Construction
SPARQL Query Pattern Readiness Score,EvaluationResult,Learner Morgan,SPARQL Query Repair Task readiness score: 79 Score Percent for SPARQL Query Pattern Construction.,Learning Platform,PointInTime,2026-03-19T13:00:00Z,ISO 8601 UTC,,,,2026-03-19T13:00:00Z,,SPARQL Query Pattern Readiness Observation,Query,SPARQL Query Pattern Construction
Modular Ontology Contribution Planning Response,Response,Learner Morgan,Modular Ontology Design: separate the reusable module boundary from the project-specific modeling choice before drafting the contribution note.,Adaptive Tutor,PointInTime,2026-03-20T13:20:00Z,ISO 8601 UTC,,,,2026-03-20T13:20:00Z,,Modular Ontology Contribution Planning Awareness,Ontology,Modular Ontology Design
Modular Ontology Contribution Planning Feedback,LearningFeedback,Learner Morgan,"Modular Ontology Design is coherent, but the contribution plan should name the reuse boundary and dependency assumptions explicitly.",Instructor Reviewer,PointInTime,2026-03-20T13:20:00Z,ISO 8601 UTC,,,,2026-03-20T13:20:00Z,,Modular Ontology Contribution Planning Awareness,Ontology,Modular Ontology Design
Modular Ontology Boundary Planning Result,EvaluationResult,Learner Morgan,Modular Ontology Boundary Review planning result: rubric level 3 for Modular Ontology Design.,Instructor Reviewer,PointInTime,2026-03-20T13:20:00Z,ISO 8601 UTC,,,,2026-03-20T13:20:00Z,,Modular Ontology Contribution Planning Awareness,Ontology,Modular Ontology Design
Executive KG Metadata Framing Hint,Response,Learner Morgan,Dublin Core Metadata Mapping: connect each metadata field to a decision an executive audience would recognize before summarizing the value claim.,Adaptive Tutor,PointInTime,2026-03-21T13:40:00Z,ISO 8601 UTC,,,,2026-03-21T13:40:00Z,,Executive KG Value Framing Awareness,Metadata,Dublin Core Metadata Mapping
Executive KG Metadata Framing Feedback,LearningFeedback,Learner Morgan,"The metadata mapping is accurate, but the executive framing should translate reuse into a concrete business decision point.",Learning Platform,PointInTime,2026-03-21T13:40:00Z,ISO 8601 UTC,,,,2026-03-21T13:40:00Z,,Executive KG Value Framing Awareness,Metadata,Dublin Core Metadata Mapping
Dublin Core Executive Framing Score,EvaluationResult,Learner Morgan,Dublin Core Metadata Mapping Task executive framing score: 72 Score Percent for Dublin Core Metadata Mapping.,Learning Platform,PointInTime,2026-03-21T13:40:00Z,ISO 8601 UTC,,,,2026-03-21T13:40:00Z,,Executive KG Value Framing Awareness,Metadata,Dublin Core Metadata Mapping
Semantic Web Foundation Baseline Hint,Response,Learner Riley,Semantic Web Vocabulary Recall: distinguish metadata examples from knowledge graph structure examples before repeating the concept check.,Adaptive Tutor,PointInTime,2026-03-22T14:00:00Z,ISO 8601 UTC,,,,2026-03-22T14:00:00Z,,Semantic Web Foundation Baseline Awareness,Metadata,Semantic Web Vocabulary Recall
Semantic Web Foundation Baseline Feedback,LearningFeedback,Learner Riley,"The baseline response identifies metadata examples, but it still blends metadata with graph structure in the explanation.",Learning Platform,PointInTime,2026-03-22T14:00:00Z,ISO 8601 UTC,,,,2026-03-22T14:00:00Z,,Semantic Web Foundation Baseline Awareness,Metadata,Semantic Web Vocabulary Recall
Metadata Foundation Baseline Score,EvaluationResult,Learner Riley,Metadata Concept Check baseline score: 70 Score Percent for Semantic Web Vocabulary Recall.,Learning Platform,PointInTime,2026-03-22T14:00:00Z,ISO 8601 UTC,,,,2026-03-22T14:00:00Z,,Semantic Web Foundation Baseline Awareness,Metadata,Semantic Web Vocabulary Recall
RDF Facilitation Planning Prompt,Response,Learner Riley,RDF Graph Interpretation: turn the triple annotation into a facilitator prompt that asks learners to justify subject predicate and object choices.,Adaptive Tutor,PointInTime,2026-03-23T14:20:00Z,ISO 8601 UTC,,,,2026-03-23T14:20:00Z,,KG Facilitation Planning Awareness,Triple,RDF Graph Interpretation
KG Facilitation Planning Feedback,LearningFeedback,Learner Riley,The facilitation plan uses the RDF graph example well; add one follow-up prompt for learners who confuse predicates with objects.,Learning Platform,PointInTime,2026-03-23T14:20:00Z,ISO 8601 UTC,,,,2026-03-23T14:20:00Z,,KG Facilitation Planning Awareness,Triple,RDF Graph Interpretation
RDF Graph Facilitation Planning Score,EvaluationResult,Learner Riley,RDF Graph Annotation Task facilitation planning score: 81 Score Percent for RDF Graph Interpretation.,Learning Platform,PointInTime,2026-03-23T14:20:00Z,ISO 8601 UTC,,,,2026-03-23T14:20:00Z,,KG Facilitation Planning Awareness,Triple,RDF Graph Interpretation
GraphQL Resource Development Guidance,Response,Learner Riley,GraphQL Query Mapping: show how the user-facing query need maps to graph data requirements before writing the resource example.,Adaptive Tutor,PointInTime,2026-03-24T14:40:00Z,ISO 8601 UTC,,,,2026-03-24T14:40:00Z,,KG Resource Development Awareness,Query,GraphQL Query Mapping
KG Resource Development Feedback,LearningFeedback,Learner Riley,"The resource example has a useful GraphQL scenario, but the mapping should name the graph pattern requirement more explicitly.",Instructor Reviewer,PointInTime,2026-03-24T14:40:00Z,ISO 8601 UTC,,,,2026-03-24T14:40:00Z,,KG Resource Development Awareness,Query,GraphQL Query Mapping
GraphQL Resource Development Rubric Result,EvaluationResult,Learner Riley,GraphQL Mapping Exercise resource development result: rubric level 3 for GraphQL Query Mapping.,Instructor Reviewer,PointInTime,2026-03-24T14:40:00Z,ISO 8601 UTC,,,,2026-03-24T14:40:00Z,,KG Resource Development Awareness,Query,GraphQL Query Mapping
